Jacobi relaxation calculation: 500 x 500 grid	./laplace_seq |	Jacobi relaxation calculation: 500 x 500 grid	./laplace_pth
18.000000 30.716098 49.873908 41.155008 41.765988 58.830895 6 |	18.000000 30.716094 49.873916 41.154995 41.766006 58.830873 6
50.000000 46.990468 49.624559 47.980082 49.078121 54.413056 5 |	50.000000 46.990477 49.624542 47.980109 49.078085 54.413100 5
76.000000 57.621250 53.653709 52.062747 52.153215 53.588607 5 |	76.000000 57.621236 53.653736 52.062708 52.153268 53.588541 5
38.000000 53.840768 55.306387 54.463823 53.883598 53.804849 5 |	38.000000 53.840785 55.306352 54.463876 53.883528 53.804937 5
79.000000 64.435505 59.267106 56.602772 55.112223 54.267292 5 |	79.000000 64.435483 59.267150 56.602706 55.112311 54.267181 5
71.000000 65.634060 60.723935 57.567673 55.695583 54.570023 5 |	71.000000 65.634086 60.723882 57.567752 55.695477 54.570156 5
77.000000 66.376905 60.426690 57.248718 55.531990 54.536676 5 |	77.000000 66.376874 60.426752 57.248626 55.532113 54.536522 5
77.000000 62.446745 57.357450 55.468150 54.647476 54.176894 5 |	77.000000 62.446781 57.357379 55.468256 54.647335 54.177071 5
50.000000 49.052768 51.087932 52.619379 53.412305 53.710511 5 |	50.000000 49.052728 51.088011 52.619260 53.412464 53.710312 5
0.000000 32.676234 45.322448 50.508652 52.672492 53.525439 53 |	0.000000 32.676279 45.322360 50.508784 52.672315 53.525659 53
9.000000 36.329899 47.016622 51.420818 53.242864 53.935155 54 |	9.000000 36.329850 47.016720 51.420672 53.243058 53.934912 54
67.000000 56.626543 54.993713 54.914552 54.943768 54.857969 5 |	67.000000 56.626596 54.993607 54.914711 54.943556 54.858234 5
82.000000 68.182772 61.416711 58.300544 56.758838 55.878268 5 |	82.000000 68.182715 61.416826 58.300371 56.759068 55.877981 5
94.000000 72.687604 64.190277 60.111383 57.913693 56.607911 5 |	94.000000 72.687666 64.190153 60.111569 57.913445 56.608220 5
56.000000 64.377613 62.544915 60.041763 58.175649 56.884806 5 |	56.000000 64.377547 62.545047 60.041564 58.175915 56.884475 5
82.000000 66.277669 61.570536 59.334307 57.863396 56.777584 5 |	82.000000 66.277740 61.570395 59.334520 57.863113 56.777938 5
54.000000 57.162809 58.124687 57.862384 57.164911 56.410908 5 |	54.000000 57.162734 58.124838 57.862158 57.165212 56.410532 5
26.000000 50.248579 55.903623 56.824725 56.524161 55.961929 5 |	26.000000 50.248659 55.903464 56.824964 56.523842 55.962327 5
76.000000 61.928204 58.415863 57.009689 56.143805 55.504243 5 |	76.000000 61.928120 58.416031 57.009436 56.144141 55.503822 5
69.000000 63.048038 58.822608 56.653353 55.538472 54.905163 5 |	69.000000 63.048127 58.822431 56.653619 55.538117 54.905606 5
79.000000 62.441694 57.172470 55.243708 54.450148 54.081725 5 |	79.000000 62.441601 57.172656 55.243428 54.450520 54.081260 5
45.000000 50.545897 52.182615 52.697743 52.938176 53.092625 5 |	45.000000 50.545994 52.182420 52.698035 52.937785 53.093113 5
20.000000 42.559668 48.313569 50.427643 51.510626 52.158686 5 |	20.000000 42.559566 48.313773 50.427337 51.511034 52.158176 5
81.000000 51.378799 48.085165 49.187411 50.519631 51.472103 5 |	81.000000 51.378906 48.084952 49.187731 50.519205 51.472635 5
7.000000 33.870789 43.460030 47.718485 49.906680 51.130025 51 |	7.000000 33.870678 43.460252 47.718152 49.907124 51.129470 51
2.000000 33.643881 44.166569 48.318485 50.260354 51.295988 51 |	2.000000 33.643997 44.166338 48.318832 50.259892 51.296566 51
75.000000 54.538629 51.242956 51.129918 51.518416 51.899852 5 |	75.000000 54.538509 51.243197 51.129558 51.518896 51.899252 5
57.000000 58.267198 55.137670 53.438375 52.785459 52.594226 5 |	57.000000 58.267322 55.137421 53.438749 52.784961 52.594849 5
99.000000 66.392990 57.601153 54.701949 53.588827 53.121771 5 |	99.000000 66.392861 57.601412 54.701562 53.589343 53.121126 5
28.000000 50.703094 54.173037 54.177890 53.748193 53.391809 5 |	28.000000 50.703227 54.172770 54.178291 53.747659 53.392477 5
57.000000 54.246882 54.208942 54.089986 53.832109 53.554936 5 |	57.000000 54.246743 54.209218 54.089571 53.832662 53.554245 5
60.000000 55.074938 54.326969 54.139343 53.937533 53.687547 5 |	60.000000 55.075081 54.326684 54.139772 53.936963 53.688261 5
39.000000 51.726471 53.883511 54.204598 54.088850 53.831334 5 |	39.000000 51.726324 53.883806 54.204156 54.089439 53.830598 5
84.000000 58.946848 55.277184 54.704920 54.384291 54.011774 5 |	84.000000 58.947000 55.276880 54.705375 54.383683 54.012533 5
1.000000 44.784344 53.572241 54.955430 54.729189 54.204547 53 |	1.000000 44.784188 53.572554 54.954960 54.729814 54.203765 53
92.000000 65.617662 59.273259 56.813491 55.374990 54.383354 5 |	92.000000 65.617823 59.272937 56.813974 55.374346 54.384159 5
71.000000 66.413687 61.088355 57.652218 55.571351 54.285114 5 |	71.000000 66.413522 61.088686 57.651721 55.572013 54.284286 5
78.000000 67.948071 61.015578 57.133688 54.975731 53.725000 5 |	78.000000 67.948241 61.015238 57.134198 54.975051 53.725851 5
99.000000 66.363699 57.890838 54.893266 53.470163 52.674665 5 |	99.000000 66.363524 57.891188 54.892741 53.470862 52.673791 5
1.000000 40.615188 49.292208 51.076276 51.339787 51.303636 51 |	1.000000 40.615368 49.291850 51.076815 51.339070 51.304533 51
45.000000 45.805563 47.585095 48.781997 49.506203 49.960389 5 |	45.000000 45.805379 47.585463 48.781445 49.506939 49.959469 5
74.000000 50.021231 46.462086 46.958203 47.945583 48.764460 4 |	74.000000 50.021420 46.461708 46.958769 47.944829 48.765403 4
12.000000 33.818032 41.282303 44.645412 46.550448 47.784701 4 |	12.000000 33.817838 41.282690 44.644832 46.551222 47.783734 4
6.000000 31.967819 40.205230 43.788372 45.829191 47.181282 48 |	6.000000 31.968017 40.204834 43.788966 45.828399 47.182272 48
77.000000 47.848806 43.780842 44.476030 45.793495 46.968130 4 |	77.000000 47.848604 43.781248 44.475422 45.794305 46.967117 4
26.000000 38.645753 42.594925 44.538979 45.903870 46.988740 4 |	26.000000 38.645961 42.594510 44.539601 45.903041 46.989776 4
15.000000 38.140111 43.412465 45.183580 46.290949 47.216124 4 |	15.000000 38.139899 43.412889 45.182944 46.291797 47.215064 4
90.000000 55.501379 47.732940 46.489382 46.863613 47.574239 4 |	90.000000 55.501596 47.732507 46.490032 46.862746 47.575323 4
50.000000 46.133332 45.526801 46.179995 47.096414 47.945129 4 |	50.000000 46.133111 45.527244 46.179331 47.097300 47.944022 4
8.000000 33.504264 42.062706 45.604728 47.400462 48.461639 49 |	8.000000 33.504490 42.062254 45.605406 47.399558 48.462770 49
